TimeStamp, ax, ay, az, gx, gy, gz, mx, my, mz 
hh:mm:ss, mg/LSB, mg/LSB, mg/LSB, mdps/LSB, mdps/LSB, mdps/LSB, mgauss/LSB, mgauss/LSB, mgauss/LSB
20024880,-756,231,16871,53,-126,-96,-249,31,-215
20025380,-747,189,16829,35,-111,-105,-248,35,-205
20025880,-757,245,16865,40,-110,-101,-255,38,-197
20026380,-758,206,16856,45,-117,-106,-259,37,-214
20026880,-760,203,16853,41,-117,-98,-258,31,-209
20027380,-795,215,16812,43,-103,-99,-256,38,-192
20027880,-780,228,16906,34,-111,-91,-248,39,-202
20028380,-753,182,16805,45,-124,-99,-252,44,-200
20028880,-792,219,16814,41,-110,-90,-249,31,-215
20029380,-781,196,16845,53,-112,-108,-250,39,-189
20029880,-784,209,16848,53,-115,-95,-253,30,-189
20030380,-759,210,16889,44,-106,-105,-257,34,-206
20030880,-764,183,16842,33,-112,-93,-244,35,-204
20031380,-768,181,16872,34,-112,-99,-253,32,-200
20031880,-748,206,16839,46,-120,-97,-253,35,-202
20032380,-806,189,16827,47,-113,-103,-260,45,-213
20032880,-788,205,16830,54,-118,-106,-256,32,-220
20033380,-761,216,16873,41,-102,-94,-248,38,-198
20033880,-771,211,16888,38,-98,-91,-247,36,-187
20034380,-783,229,16838,46,-118,-89,-258,40,-209
20034880,-764,227,16825,39,-109,-100,-246,33,-208
20035380,-777,190,16861,45,-115,-112,-246,34,-198
20035880,-726,204,16841,42,-115,-99,-241,30,-186
20036380,-745,223,16922,39,-125,-96,-255,33,-192
20036880,-764,166,16871,34,-118,-105,-249,35,-194
20037380,-739,210,16880,35,-122,-98,-243,37,-195
20037880,-770,212,16861,45,-113,-94,-249,39,-199
20038380,-776,172,16879,51,-117,-84,-258,35,-187
20038880,-788,180,16862,48,-114,-103,-250,33,-208
20039380,-761,230,16875,34,-104,-99,-247,37,-195
20039880,-747,192,16885,49,-118,-93,-250,25,-186
20040380,-749,196,16853,41,-112,-107,-256,30,-206
20040880,-773,202,16896,50,-116,-98,-250,35,-181
20041380,-784,213,16843,52,-116,-92,-244,32,-184
20041880,-734,229,16861,42,-106,-106,-245,36,-185
20042380,-784,195,16836,39,-107,-90,-253,29,-191
20042880,-760,187,16830,45,-114,-94,-247,37,-204
20043380,-789,196,16857,40,-121,-106,-250,26,-200
20043880,-787,211,16886,46,-118,-110,-250,30,-187
20044380,-777,181,16811,41,-119,-101,-258,31,-188
20044880,-769,194,16917,35,-105,-86,-247,41,-193
20045380,-757,233,16863,41,-115,-98,-248,36,-193
20045880,-784,189,16834,49,-118,-102,-265,29,-205
20046380,-805,249,16847,47,-112,-94,-254,30,-206
20046880,-773,201,16899,55,-121,-103,-252,37,-210
20047380,-765,187,16844,37,-113,-96,-254,28,-204
20047880,-759,222,16897,34,-112,-94,-246,40,-195
20048380,-723,200,16887,38,-115,-105,-255,29,-195
20048880,-773,206,16876,38,-115,-94,-241,31,-186
20049380,-801,210,16896,42,-113,-103,-252,34,-202
20049880,-740,209,16922,54,-122,-99,-260,34,-206
20050380,-737,230,16847,44,-109,-101,-248,32,-192
20050880,-763,215,16834,54,-118,-100,-258,31,-190
20051380,-756,204,16861,44,-102,-103,-251,40,-200
20051880,-764,200,16875,36,-118,-97,-267,28,-206
20052380,-789,204,16844,41,-113,-102,-249,31,-197
20052880,-772,232,16858,38,-120,-98,-262,39,-212
20053380,-713,234,16885,47,-104,-101,-251,36,-213
20053880,-735,179,16915,32,-105,-104,-261,39,-199
20054380,-775,216,16843,43,-108,-84,-255,35,-200
20054880,-801,199,16823,41,-117,-111,-243,36,-200
20055380,-753,218,16871,49,-119,-100,-246,32,-202
20055880,-734,221,16864,46,-116,-103,-260,31,-206
20056380,-784,186,16850,42,-123,-101,-253,39,-200
20056880,-755,216,16852,38,-109,-91,-248,36,-186
20057380,-793,195,16862,45,-132,-109,-250,41,-197
20057880,-769,211,16862,53,-130,-114,-268,32,-198
20058380,-794,169,16873,44,-111,-86,-252,33,-187
20058880,-774,218,16819,44,-112,-92,-256,38,-190
20059380,-721,230,16858,42,-113,-99,-252,36,-201
20059880,-754,223,16870,44,-120,-103,-251,29,-201
20060380,-751,216,16841,35,-94,-96,-254,29,-201
20060880,-826,242,16837,50,-125,-99,-246,39,-191
20061380,-771,209,16865,39,-106,-103,-256,40,-202
20061880,-758,211,16875,51,-112,-100,-249,36,-202
20062380,-745,163,16841,34,-109,-95,-246,38,-194
20062880,-760,200,16791,47,-117,-109,-248,39,-193
20063380,-827,202,16842,34,-105,-95,-241,33,-210
20063880,-765,224,16868,41,-108,-101,-252,36,-201
20064380,-760,207,16847,36,-124,-98,-244,40,-183
20064880,-756,177,16837,44,-110,-88,-247,34,-194
20065380,-753,202,16805,49,-121,-95,-246,37,-210
20065880,-761,223,16834,48,-127,-100,-255,36,-193
20066380,-755,214,16826,44,-120,-104,-266,33,-194
20066880,-758,218,16890,39,-109,-107,-252,31,-204
20067380,-755,216,16832,29,-125,-81,-248,42,-193
20067880,-749,238,16807,40,-122,-106,-244,29,-201
20068380,-727,232,16815,50,-107,-92,-251,32,-187
20068880,-756,213,16816,41,-112,-104,-251,40,-199
20069380,-821,171,16826,48,-109,-91,-249,35,-194
20069880,-771,207,16868,50,-119,-96,-252,33,-209
20070380,-787,199,16833,31,-102,-93,-264,32,-206
20070880,-748,222,16875,40,-112,-100,-247,31,-192
20071380,-764,211,16824,45,-110,-102,-252,33,-202
20071880,-805,178,16874,47,-120,-98,-247,43,-191
20072380,-789,224,16805,45,-120,-95,-257,29,-197
20072880,-827,193,16798,48,-120,-102,-255,37,-204
20073380,-746,195,16855,38,-113,-102,-242,29,-188
20073880,-778,247,16823,42,-110,-106,-252,39,-205
20074380,-759,205,16841,45,-109,-101,-258,31,-200
20074880,-789,204,16871,34,-110,-100,-265,37,-198
20075380,-791,179,16861,44,-107,-99,-246,35,-202
20075880,-721,226,16882,48,-108,-102,-246,40,-187
20076380,-733,224,16857,48,-124,-101,-245,36,-197
20076880,-775,209,16826,44,-126,-98,-252,34,-186
20077380,-785,199,16889,50,-111,-97,-258,32,-218
20077880,-737,192,16909,44,-112,-94,-243,37,-190
20078380,-735,227,16866,41,-114,-94,-259,37,-203
20078880,-747,181,16821,52,-122,-97,-257,30,-206
20079380,-728,200,16882,43,-109,-97,-255,38,-214
20079880,-752,208,16830,44,-125,-106,-249,36,-202
20080380,-799,196,16837,41,-119,-99,-243,35,-193
20080880,-780,177,16813,38,-117,-112,-260,31,-210
20081380,-782,198,16825,36,-112,-99,-264,30,-210
20081880,-779,217,16864,37,-99,-96,-256,34,-209
20082380,-761,177,16851,34,-108,-90,-258,34,-200
20082880,-754,234,16839,37,-103,-97,-249,32,-195
20083380,-790,214,16831,48,-120,-105,-252,33,-182
20083880,-764,187,16899,43,-113,-92,-248,40,-197
